property_name,location,type,price,bedrooms,bathrooms,max_guests,amenities,description,airbnb_id,booking_id,platforms,status,is_featured,occupancy_rate,image_url
Cape Town Premium Villa,Cape Town Western Cape,house,5500,6,5,12,"Pool,Ocean View,Garden,Braai,Chef Kitchen,Home Theater",Ultra-premium villa with home theater and chef's kitchen,CT002,CT002,"airbnb,booking,manual",active,true,85,https://images.unsplash.com/photo-1564013799919-ab600027ffc6
Joburg Luxury Suite,Johannesburg Gauteng,apartment,4200,4,3,8,"Gym,Security,Wifi,Pool,Concierge,Butler Service",Luxury suite with butler service and premium amenities,JB002,JB002,"airbnb,booking",active,true,90,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
Durban Ocean House,Durban KwaZulu-Natal,house,4800,5,4,10,"Beach Access,Pool,Garden,BBQ,Beach Bar",Oceanfront property with private beach bar,DB002,DB002,"airbnb,manual",active,false,75,https://images.unsplash.com/photo-1571896349842-33c89424de2d
Stellenbosch Wine Villa,Stellenbosch Western Cape,house,3800,4,3,8,"Mountain View,Garden,Wine Tasting,Pool,Wine Cellar",Villa with private wine cellar and tasting room,ST002,ST002,"booking,manual",active,true,80,https://images.unsplash.com/photo-1564013799919-ab600027ffc6
Pretoria Executive Penthouse,Pretoria Gauteng,apartment,6200,5,4,10,"Pool,Gym,Concierge,City View,Helipad,Private Chef",Executive penthouse with private chef and helipad,PT002,PT002,"airbnb,booking,manual",active,true,95,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
Port Elizabeth Luxury Home,Port Elizabeth Eastern Cape,house,3200,5,3,10,"Garden,BBQ Area,Secure Parking,Beach View,Pool",Luxury family home with ocean views,PE002,PE002,"airbnb,manual",active,false,70,https://images.unsplash.com/photo-1571896349842-33c89424de2d
Bloemfontein Business Suite,Bloemfontein Free State,apartment,2800,2,2,4,"Kitchenette,Work Desk,Wifi,Gym,Conference Room",Business suite with conference facilities,BF002,BF002,"booking,manual",active,false,65,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
Nelspruit Luxury Lodge,Nelspruit Mpumalanga,lodge,4200,4,4,8,"Garden,BBQ,Pool,Mountain View,Safari,Game Drives",Luxury lodge with guided game drives,NL002,NL002,"airbnb,booking,manual",active,true,85,https://images.unsplash.com/photo-1564013799919-ab600027ffc6
Kimberley Luxury House,Kimberley Northern Cape,house,3000,5,3,10,"Garden,Secure Parking,Historic,Pool,Spa",Historic house with modern spa facilities,KM002,KM002,"airbnb,manual",active,false,75,https://images.unsplash.com/photo-1571896349842-33c89424de2d
Polokwane Executive Apartment,Polokwane Limpopo,apartment,3200,4,3,8,"Security,Pool,Gym,Modern,Concierge,Butler",Executive apartment with butler service,PL002,PL002,"booking,manual",active,true,80,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
